DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,CH,2010-01-01,22.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,CY,2010-01-01,25.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,CZ,2010-01-01,15.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,DE,2010-01-01,27.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,DK,2010-01-01,18.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,EL,2010-01-01,19.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,ES,2010-01-01,23.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,FI,2010-01-01,25.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,FR,2010-01-01,22.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,HR,2010-01-01,-1.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,HU,2010-01-01,19.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,IE,2010-01-01,20.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,IS,2010-01-01,21.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,IT,2010-01-01,3.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,LT,2010-01-01,9.4,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,LU,2010-01-01,21.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,LV,2010-01-01,16.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,MT,2010-01-01,0.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,NL,2010-01-01,24.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,NO,2010-01-01,21.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,PL,2010-01-01,3.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,PT,2010-01-01,9.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,RO,2010-01-01,8.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,SE,2010-01-01,18.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,SI,2010-01-01,-6.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,SK,2010-01-01,13.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y55-64,UK,2010-01-01,26.9,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,AT,2010-01-01,24.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,BE,2010-01-01,,,C
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,BG,2010-01-01,-16.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,CH,2010-01-01,28.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,CY,2010-01-01,28.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,CZ,2010-01-01,30.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,DE,2010-01-01,20.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,DK,2010-01-01,14.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,EL,2010-01-01,17.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,ES,2010-01-01,45.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,FI,2010-01-01,29.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,FR,2010-01-01,36.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,HR,2010-01-01,-0.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,HU,2010-01-01,19.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,IE,2010-01-01,10.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,IS,2010-01-01,18.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,IT,2010-01-01,36.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,LT,2010-01-01,4.8,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,LV,2010-01-01,16.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,MT,2010-01-01,10.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,NL,2010-01-01,11.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,NO,2010-01-01,19.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,PL,2010-01-01,5.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,PT,2010-01-01,36.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,RO,2010-01-01,28.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,SE,2010-01-01,19.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,SI,2010-01-01,7.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,SK,2010-01-01,6.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_GE65,UK,2010-01-01,28.1,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,AT,2010-01-01,8.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,BE,2010-01-01,3.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,BG,2010-01-01,5.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,CH,2010-01-01,3.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,CY,2010-01-01,6.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,CZ,2010-01-01,7.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,DE,2010-01-01,2.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,DK,2010-01-01,5.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,EL,2010-01-01,-8.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,ES,2010-01-01,4.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,FI,2010-01-01,7.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,FR,2010-01-01,-6.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,HR,2010-01-01,6.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,HU,2010-01-01,-1.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,IE,2010-01-01,0.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,IS,2010-01-01,4.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,IT,2010-01-01,5.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,LT,2010-01-01,9.8,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,LU,2010-01-01,-6.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,LV,2010-01-01,6.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,MT,2010-01-01,-3.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,NL,2010-01-01,-0.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,NO,2010-01-01,6.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,PL,2010-01-01,3.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,PT,2010-01-01,4.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,RO,2010-01-01,1.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,SE,2010-01-01,6.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,SI,2010-01-01,-7.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,SK,2010-01-01,7.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y_LT25,UK,2010-01-01,7.4,b,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,BE,2011-01-01,3.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,BG,2011-01-01,11.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,CH,2011-01-01,7.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,CY,2011-01-01,-0.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,CZ,2011-01-01,14.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,DK,2011-01-01,12.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,ES,2011-01-01,10.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,FI,2011-01-01,13.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,FR,2011-01-01,8.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,HU,2011-01-01,8.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,IE,2011-01-01,1.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,IS,2011-01-01,11.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,IT,2011-01-01,6.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,LT,2011-01-01,9.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,MT,2011-01-01,3.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,NL,2011-01-01,3.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,NO,2011-01-01,9.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,PL,2011-01-01,5.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,PT,2011-01-01,6.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,RO,2011-01-01,2.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,SE,2011-01-01,9.9,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,SI,2011-01-01,-1.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,SK,2011-01-01,15.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y25-34,UK,2011-01-01,7.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,BE,2011-01-01,8.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,BG,2011-01-01,19.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,CH,2011-01-01,16.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,CY,2011-01-01,12.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,CZ,2011-01-01,30.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,DK,2011-01-01,18.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,ES,2011-01-01,15.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,FI,2011-01-01,20.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,FR,2011-01-01,13.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,HU,2011-01-01,23.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,IE,2011-01-01,13.3,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,A,PC,Y35-44,IS,2011-01-01,22.1,,
