DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LU,2007-01-01,10.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LV,2007-01-01,13.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,MT,2007-01-01,7.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NL,2007-01-01,19.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NO,2007-01-01,15.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PL,2007-01-01,14.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PT,2007-01-01,8.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,RO,2007-01-01,12.5,d,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SE,2007-01-01,17.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SI,2007-01-01,5.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SK,2007-01-01,23.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,UK,2007-01-01,20.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,AT,2008-01-01,25.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BE,2008-01-01,10.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BG,2008-01-01,12.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CH,2008-01-01,18.4,d,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CY,2008-01-01,19.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CZ,2008-01-01,26.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DE,2008-01-01,22.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DK,2008-01-01,17.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EE,2008-01-01,27.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EL,2008-01-01,22.0,d,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,ES,2008-01-01,16.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FI,2008-01-01,20.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FR,2008-01-01,16.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HU,2008-01-01,17.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IE,2008-01-01,12.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IS,2008-01-01,20.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IT,2008-01-01,4.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LT,2008-01-01,21.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LU,2008-01-01,9.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LV,2008-01-01,11.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,MT,2008-01-01,9.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NL,2008-01-01,18.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NO,2008-01-01,17.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PL,2008-01-01,11.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PT,2008-01-01,9.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,RO,2008-01-01,8.5,d,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SE,2008-01-01,16.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SI,2008-01-01,4.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SK,2008-01-01,20.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,UK,2008-01-01,21.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,AT,2009-01-01,24.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BE,2009-01-01,10.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BG,2009-01-01,13.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CH,2009-01-01,18.4,d,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CY,2009-01-01,17.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CZ,2009-01-01,25.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DE,2009-01-01,22.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DK,2009-01-01,16.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EE,2009-01-01,26.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,ES,2009-01-01,16.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FI,2009-01-01,20.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FR,2009-01-01,15.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HU,2009-01-01,17.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IE,2009-01-01,12.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IS,2009-01-01,18.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IT,2009-01-01,5.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LT,2009-01-01,15.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LU,2009-01-01,9.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LV,2009-01-01,13.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,MT,2009-01-01,7.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NL,2009-01-01,18.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NO,2009-01-01,16.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PL,2009-01-01,8.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PT,2009-01-01,10.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,RO,2009-01-01,7.4,d,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SE,2009-01-01,15.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SI,2009-01-01,-0.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SK,2009-01-01,21.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,UK,2009-01-01,20.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,AT,2010-01-01,24.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BE,2010-01-01,10.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BG,2010-01-01,13.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CH,2010-01-01,17.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CY,2010-01-01,16.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CZ,2010-01-01,21.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DE,2010-01-01,22.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DK,2010-01-01,17.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EA19,2010-01-01,17.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EA20,2010-01-01,16.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EE,2010-01-01,27.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EL,2010-01-01,15.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,ES,2010-01-01,16.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EU27_2020,2010-01-01,15.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FI,2010-01-01,20.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FR,2010-01-01,15.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HR,2010-01-01,5.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HU,2010-01-01,17.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IE,2010-01-01,13.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IS,2010-01-01,17.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IT,2010-01-01,5.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LT,2010-01-01,11.9,b,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LU,2010-01-01,8.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LV,2010-01-01,15.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,MT,2010-01-01,7.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NL,2010-01-01,17.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NO,2010-01-01,16.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PL,2010-01-01,4.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PT,2010-01-01,12.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,RO,2010-01-01,8.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SE,2010-01-01,15.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SI,2010-01-01,0.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SK,2010-01-01,19.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,UK,2010-01-01,23.3,b,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,AT,2011-01-01,23.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BE,2011-01-01,9.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BG,2011-01-01,13.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CH,2011-01-01,17.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CY,2011-01-01,16.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CZ,2011-01-01,22.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DE,2011-01-01,22.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DK,2011-01-01,16.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EA19,2011-01-01,17.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EA20,2011-01-01,17.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EE,2011-01-01,27.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,ES,2011-01-01,17.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EU27_2020,2011-01-01,16.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FI,2011-01-01,19.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FR,2011-01-01,15.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HU,2011-01-01,18.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IE,2011-01-01,12.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IS,2011-01-01,17.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IT,2011-01-01,5.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LT,2011-01-01,11.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LU,2011-01-01,7.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LV,2011-01-01,14.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,MT,2011-01-01,7.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NL,2011-01-01,18.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NO,2011-01-01,15.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PL,2011-01-01,5.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PT,2011-01-01,12.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,RO,2011-01-01,9.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SE,2011-01-01,15.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SI,2011-01-01,3.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SK,2011-01-01,20.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,UK,2011-01-01,21.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,AT,2012-01-01,22.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BE,2012-01-01,8.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BG,2012-01-01,15.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CH,2012-01-01,17.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CY,2012-01-01,15.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CZ,2012-01-01,22.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DE,2012-01-01,22.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DK,2012-01-01,16.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EA19,2012-01-01,17.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EA20,2012-01-01,17.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EE,2012-01-01,29.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,ES,2012-01-01,18.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EU27_2020,2012-01-01,16.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FI,2012-01-01,19.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FR,2012-01-01,15.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HU,2012-01-01,20.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IE,2012-01-01,12.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IS,2012-01-01,17.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IT,2012-01-01,6.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LT,2012-01-01,11.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LU,2012-01-01,7.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LV,2012-01-01,14.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,MT,2012-01-01,9.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NL,2012-01-01,18.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NO,2012-01-01,14.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PL,2012-01-01,6.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PT,2012-01-01,15.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,RO,2012-01-01,6.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SE,2012-01-01,15.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SI,2012-01-01,4.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SK,2012-01-01,20.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,UK,2012-01-01,22.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,AT,2013-01-01,22.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BE,2013-01-01,7.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BG,2013-01-01,14.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CH,2013-01-01,17.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CY,2013-01-01,14.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CZ,2013-01-01,22.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DE,2013-01-01,22.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DK,2013-01-01,16.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EA19,2013-01-01,17.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EA20,2013-01-01,17.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EE,2013-01-01,29.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,ES,2013-01-01,17.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EU27_2020,2013-01-01,16.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FI,2013-01-01,18.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FR,2013-01-01,15.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HR,2013-01-01,7.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HU,2013-01-01,18.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IE,2013-01-01,12.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IS,2013-01-01,19.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IT,2013-01-01,7.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LT,2013-01-01,12.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LU,2013-01-01,6.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LV,2013-01-01,16.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,MT,2013-01-01,9.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NL,2013-01-01,17.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,NO,2013-01-01,15.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PL,2013-01-01,7.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,PT,2013-01-01,13.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,RO,2013-01-01,4.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SE,2013-01-01,14.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SI,2013-01-01,6.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,SK,2013-01-01,18.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,UK,2013-01-01,21.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,AT,2014-01-01,22.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BE,2014-01-01,6.6,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,BG,2014-01-01,14.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CH,2014-01-01,17.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CY,2014-01-01,14.2,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,CZ,2014-01-01,22.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DE,2014-01-01,22.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,DK,2014-01-01,16.0,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EA19,2014-01-01,16.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EA20,2014-01-01,16.8,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EE,2014-01-01,28.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EL,2014-01-01,12.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,ES,2014-01-01,14.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,EU27_2020,2014-01-01,15.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FI,2014-01-01,18.4,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,FR,2014-01-01,15.5,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HR,2014-01-01,8.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,HU,2014-01-01,15.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IE,2014-01-01,13.9,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IS,2014-01-01,16.7,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,IT,2014-01-01,6.1,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LT,2014-01-01,13.3,,
ESTAT:TESEM180(1.0),26/02/26 23:00:00,A,PC,B-S_X_O,LU,2014-01-01,5.4,,
