DATAFLOW,COUNTRY,INDICATOR,DATA_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMAL_DISPLAYED,CURRENCY,COMMODITY_CF,PCPS_RY,INDEX_TYPE,PRICES,EXRATE,TRANSFORMATION,DERIVATION_TYPE,OVERLAP,DOI,FULL_DESCRIPTION,AUTHOR,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SOURCE,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,39.68266066730027,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,48.87184114247435,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,50.02904443407091,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,49.56334078609932,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,50.81266540950476,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,51.47805732853119,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,51.08667816504407,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,51.15802335800271,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,50.91889945231362,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,50.62097451707249,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
IMF.RES:PCPS(9.0.0),G001,PCOAL,INDEX,M,,49.06149429367096,0,,,,,,,,,,R,,,"PCPS database includes 70+ commodities prices and indices covering energy, agriculture, and metals, with data available in annual, quarterly, and monthly frequencies dating back to the 1990s. Benchmark prices are sourced from various high-frequency channels and then converted to monthly averages from weekly or daily values (see technical documentation). Quarterly and annual frequencies are derived from these monthly averages. Aggregate price indices represent weighted averages of selected commodity price indices, derived from identified benchmark prices that reflect the global market. The weighting is determined based on global import shares (UNComTrade) over a three-year period (2014-2016) and normalized to 100 at 2016 price levels. All benchmark prices are denominated in USD.",,IMF,RES,datahelp@imf.org,,Q02,,"Commodities,Prices",EN,2026-04-06T22:23:09.980682300Z,2026-04-06T22:23:10.030322900Z,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",PUBLIC_OPEN,,PUB,,"""PCPS Technical Documentation: IMF Primary Commodity Price Index"", Jan 25, 2019, IMF Methodology Notes",,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. Primary Commodity Price System (PCPS),  https://data.imf.org/en/datasets//IMF.RES:PCPS. Accessed on [current date].",,
