DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,CH,2000-01-01,31.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,CY,2000-01-01,19.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,CZ,2000-01-01,11.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,DE,2000-01-01,33.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,DK,2000-01-01,22.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,EE,2000-01-01,,bu,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,EL,2000-01-01,25.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,ES,2000-01-01,55.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,FI,2000-01-01,47.5,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,FR,2000-01-01,36.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,HU,2000-01-01,10.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,IE,2000-01-01,10.0,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,IS,2000-01-01,9.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,IT,2000-01-01,21.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,LT,2000-01-01,5.6,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,LU,2000-01-01,7.9,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,LV,2000-01-01,6.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,MT,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,NL,2000-01-01,27.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,NO,2000-01-01,24.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,PL,2000-01-01,9.2,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,PT,2000-01-01,38.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,RO,2000-01-01,6.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,SE,2000-01-01,37.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,SI,2000-01-01,32.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,SK,2000-01-01,6.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-29,TOTAL,UK,2000-01-01,10.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,AT,2000-01-01,8.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,BE,2000-01-01,12.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,BG,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,CH,2000-01-01,12.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,CY,2000-01-01,14.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,CZ,2000-01-01,8.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,DE,2000-01-01,13.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,DK,2000-01-01,11.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,EE,2000-01-01,,bu,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,EL,2000-01-01,16.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,ES,2000-01-01,34.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,FI,2000-01-01,20.9,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,FR,2000-01-01,16.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,HU,2000-01-01,6.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,IE,2000-01-01,6.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,IS,2000-01-01,6.0,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,IT,2000-01-01,12.2,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,LT,2000-01-01,2.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,LU,2000-01-01,4.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,LV,2000-01-01,4.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,MT,2000-01-01,5.1,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,NL,2000-01-01,17.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,NO,2000-01-01,11.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,PL,2000-01-01,4.7,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,PT,2000-01-01,22.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,RO,2000-01-01,2.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,SE,2000-01-01,16.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,SI,2000-01-01,13.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,SK,2000-01-01,4.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-64,TOTAL,UK,2000-01-01,7.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,AT,2000-01-01,8.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,BE,2000-01-01,12.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,BG,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,CH,2000-01-01,12.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,CY,2000-01-01,14.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,CZ,2000-01-01,9.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,DE,2000-01-01,13.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,DK,2000-01-01,11.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,EE,2000-01-01,,bu,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,EL,2000-01-01,16.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,ES,2000-01-01,34.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,FI,2000-01-01,20.9,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,FR,2000-01-01,16.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,HU,2000-01-01,6.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,IE,2000-01-01,6.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,IS,2000-01-01,5.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,IT,2000-01-01,12.2,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,LT,2000-01-01,2.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,LU,2000-01-01,4.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,LV,2000-01-01,4.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,MT,2000-01-01,5.3,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,NL,2000-01-01,17.2,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,NO,2000-01-01,11.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,PL,2000-01-01,4.7,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,PT,2000-01-01,22.2,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,RO,2000-01-01,2.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,SE,2000-01-01,16.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,SI,2000-01-01,13.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,SK,2000-01-01,4.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y15-74,TOTAL,UK,2000-01-01,7.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,AT,2000-01-01,5.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,BE,2000-01-01,11.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,BG,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,CH,2000-01-01,8.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,CY,2000-01-01,14.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,CZ,2000-01-01,8.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,DE,2000-01-01,10.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,DK,2000-01-01,11.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,EE,2000-01-01,,bu,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,EL,2000-01-01,15.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,ES,2000-01-01,33.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,FI,2000-01-01,19.1,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,FR,2000-01-01,15.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,HU,2000-01-01,6.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,IE,2000-01-01,5.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,IS,2000-01-01,5.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,IT,2000-01-01,11.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,LT,2000-01-01,2.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,LU,2000-01-01,3.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,LV,2000-01-01,4.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,MT,2000-01-01,5.2,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,NL,2000-01-01,14.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,NO,2000-01-01,10.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,PL,2000-01-01,4.5,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,PT,2000-01-01,21.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,RO,2000-01-01,2.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,SE,2000-01-01,15.2,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,SI,2000-01-01,12.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,SK,2000-01-01,4.0,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y20-64,TOTAL,UK,2000-01-01,7.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,AT,2000-01-01,6.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,BE,2000-01-01,13.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,BG,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,CH,2000-01-01,9.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,CY,2000-01-01,17.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,CZ,2000-01-01,7.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,DE,2000-01-01,11.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,DK,2000-01-01,12.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,EE,2000-01-01,,bu,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,EL,2000-01-01,17.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,ES,2000-01-01,39.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,FI,2000-01-01,29.9,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,FR,2000-01-01,20.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,HU,2000-01-01,7.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,IE,2000-01-01,3.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,IS,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,IT,2000-01-01,14.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,LT,2000-01-01,4.5,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,LU,2000-01-01,4.0,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,LV,2000-01-01,3.8,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,MT,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,NL,2000-01-01,15.0,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,NO,2000-01-01,14.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,PL,2000-01-01,4.7,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,PT,2000-01-01,26.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,RO,2000-01-01,2.8,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,SE,2000-01-01,21.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,SI,2000-01-01,17.4,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,SK,2000-01-01,3.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-34,TOTAL,UK,2000-01-01,7.0,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,AT,2000-01-01,4.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,BE,2000-01-01,9.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,BG,2000-01-01,,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,CH,2000-01-01,6.7,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,CY,2000-01-01,13.2,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,CZ,2000-01-01,5.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,DE,2000-01-01,8.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,DK,2000-01-01,8.9,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,EE,2000-01-01,,bu,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,EL,2000-01-01,14.0,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,ES,2000-01-01,29.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,FI,2000-01-01,16.7,b,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,FR,2000-01-01,13.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,HU,2000-01-01,5.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,IE,2000-01-01,4.1,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,IS,2000-01-01,4.3,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,IT,2000-01-01,10.6,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,LT,2000-01-01,2.2,u,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,LU,2000-01-01,3.5,,
ESTAT:LFSA_ETPGAN(1.0),17/04/26 11:00:00,A,PC,F,Y25-54,TOTAL,LV,2000-01-01,3.9,,
