DATAFLOW,LAST UPDATE,freq,frequenc,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,CZ,2007-01-01,53.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,EE,2007-01-01,71.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,EL,2007-01-01,31.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,ES,2007-01-01,49.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,FI,2007-01-01,86.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,HR,2007-01-01,61.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,HU,2007-01-01,63.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,LT,2007-01-01,64.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,LV,2007-01-01,57.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,MT,2007-01-01,32.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,PL,2007-01-01,46.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,PT,2007-01-01,41.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,RO,2007-01-01,35.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,SI,2007-01-01,66.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,SK,2007-01-01,67.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-44,PC,TR,2007-01-01,41.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,AT,2007-01-01,72.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,BE,2007-01-01,41.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,BG,2007-01-01,46.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,CY,2007-01-01,41.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,CZ,2007-01-01,55.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,EE,2007-01-01,72.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,EL,2007-01-01,31.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,ES,2007-01-01,51.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,FI,2007-01-01,89.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,HR,2007-01-01,59.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,HU,2007-01-01,64.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,LT,2007-01-01,66.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,LV,2007-01-01,61.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,MT,2007-01-01,31.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,PL,2007-01-01,47.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,PT,2007-01-01,40.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,RO,2007-01-01,35.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,SI,2007-01-01,67.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,SK,2007-01-01,69.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y35-54,PC,TR,2007-01-01,40.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,AT,2007-01-01,74.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,BE,2007-01-01,43.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,BG,2007-01-01,46.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,CY,2007-01-01,44.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,CZ,2007-01-01,57.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,EE,2007-01-01,73.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,EL,2007-01-01,32.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,ES,2007-01-01,54.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,FI,2007-01-01,91.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,HR,2007-01-01,57.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,HU,2007-01-01,65.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,LT,2007-01-01,68.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,LV,2007-01-01,65.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,MT,2007-01-01,30.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,PL,2007-01-01,49.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,PT,2007-01-01,40.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,RO,2007-01-01,35.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,SI,2007-01-01,68.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,SK,2007-01-01,71.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-54,PC,TR,2007-01-01,39.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,AT,2007-01-01,76.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,BE,2007-01-01,48.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,BG,2007-01-01,45.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,CY,2007-01-01,45.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,CZ,2007-01-01,59.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,EE,2007-01-01,72.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,EL,2007-01-01,29.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,ES,2007-01-01,52.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,FI,2007-01-01,93.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,HR,2007-01-01,53.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,HU,2007-01-01,65.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,LT,2007-01-01,67.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,LV,2007-01-01,65.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,MT,2007-01-01,33.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,PL,2007-01-01,49.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,PT,2007-01-01,38.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,RO,2007-01-01,32.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,SI,2007-01-01,71.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,SK,2007-01-01,70.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y45-64,PC,TR,2007-01-01,37.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,AT,2007-01-01,78.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,BE,2007-01-01,53.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,BG,2007-01-01,43.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,CY,2007-01-01,46.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,CZ,2007-01-01,60.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,EE,2007-01-01,71.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,EL,2007-01-01,27.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,ES,2007-01-01,49.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,FI,2007-01-01,94.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,HR,2007-01-01,48.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,HU,2007-01-01,65.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,LT,2007-01-01,65.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,LV,2007-01-01,66.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,MT,2007-01-01,36.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,PL,2007-01-01,50.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,PT,2007-01-01,36.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,RO,2007-01-01,29.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,SI,2007-01-01,75.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,SK,2007-01-01,69.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,DAY,Y55-64,PC,TR,2007-01-01,32.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,AT,2007-01-01,97.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,BE,2007-01-01,89.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,BG,2007-01-01,87.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,CY,2007-01-01,88.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,CZ,2007-01-01,95.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,DE,2007-01-01,87.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,EE,2007-01-01,97.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,EL,2007-01-01,87.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,ES,2007-01-01,88.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,FI,2007-01-01,99.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,HR,2007-01-01,96.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,HU,2007-01-01,96.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,LT,2007-01-01,98.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,LV,2007-01-01,97.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,MT,2007-01-01,87.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,PL,2007-01-01,98.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,PT,2007-01-01,91.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,RO,2007-01-01,92.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,SI,2007-01-01,97.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,SK,2007-01-01,99.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-34,PC,TR,2007-01-01,83.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,AT,2007-01-01,96.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,BE,2007-01-01,89.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,BG,2007-01-01,88.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,CY,2007-01-01,89.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,CZ,2007-01-01,95.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,DE,2007-01-01,89.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,EE,2007-01-01,97.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,EL,2007-01-01,87.9,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,ES,2007-01-01,89.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,FI,2007-01-01,99.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,HR,2007-01-01,96.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,HU,2007-01-01,97.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,LT,2007-01-01,98.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,LV,2007-01-01,97.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,MT,2007-01-01,85.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,PL,2007-01-01,98.2,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,PT,2007-01-01,89.8,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,RO,2007-01-01,93.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,SI,2007-01-01,97.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,SK,2007-01-01,99.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-44,PC,TR,2007-01-01,81.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,AT,2007-01-01,97.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,BE,2007-01-01,88.7,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,BG,2007-01-01,89.0,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,CY,2007-01-01,90.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,CZ,2007-01-01,96.5,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,DE,2007-01-01,92.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,EE,2007-01-01,98.1,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,EL,2007-01-01,85.6,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,ES,2007-01-01,88.4,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,FI,2007-01-01,99.3,,
ESTAT:CULT_PCS_NWA(1.0),25/02/16 23:00:00,A,GE1,Y25-64,PC,HR,2007-01-01,94.8,,
